INDEX;geometry;traffic;energysum;conversionfactor
104;POINT (4550217.347820349 3271008.404167909);885735,0;17146;0,0028576996530708387
105;POINT (4552333.724656326 3271511.831790961);870336,0;16848;0,002808016941020804
106;POINT (4552333.262813187 3271512.905413932);870336,0;16848;0,002808016941020804
107;POINT (4542304.622169756 3271514.951048255);857882,0;16607;0,0027678358581017092
108;POINT (4554499.526439568 3266364.652944451);857144,0;16593;0,0027654548046896093
109;POINT (4548250.030321887 3274805.245864453);854601,0;16544;0,002757250172132739
110;POINT (4562267.678840235 3263809.749086492);849135,0;16438;0,0027396148903569427
111;POINT (4562269.237689065 3263810.452052164);849135,0;16438;0,0027396148903569427
112;POINT (4562540.131356091 3263862.432999052);841560,0;16291;0,002715175216106731
113;POINT (4544579.771830739 3279405.552972591);836919,0;16201;0,0027002016810314523
114;POINT (4544579.774693092 3279405.552279184);836919,0;16201;0,0027002016810314523
115;POINT (4553437.84983555 3277749.16057017);831004,0;16087;0,0026811177637786465
116;POINT (4553438.854940309 3277751.006282863);831004,0;16087;0,0026811177637786465
117;POINT (4555566.260537305 3274260.24081636);824280,0;15957;0,002659423721579514
118;POINT (4555566.253759518 3274260.240485138);824280,0;15957;0,002659423721579514
119;POINT (4544023.704427596 3279741.260657245);817785,0;15831;0,002638468515737253
120;POINT (4544023.444327748 3279742.661273837);817785,0;15831;0,002638468515737253
121;POINT (4547720.281071811 3273037.119411087);817174,0;15819;0,0026364972099990514
122;POINT (4543480.114507124 3281243.607004475);807618,0;15634;0,0026056661173079585
123;POINT (4554674.25844855 3274935.112754372);803530,0;15555;0,0025924767591119363
124;POINT (4554674.512939445 3274935.299900706);803530,0;15555;0,0025924767591119363
125;POINT (4546534.898758837 3274741.528883778);800349,0;15493;0,002582213709106666
126;POINT (4546534.896025916 3274741.523270937);800349,0;15493;0,002582213709106666
127;POINT (4548672.886406912 3265295.238845475);800190,0;15490;0,002581700717924384
128;POINT (4551030.22206281 3265297.433414092);796237,0;15414;0,002568946918279356
129;POINT (4551029.589723714 3265297.090556759);796237,0;15414;0,002568946918279356
130;POINT (4550833.581893418 3264335.835132043);794107,0;15373;0,0025620747722525637
131;POINT (4555173.202248124 3274957.088762224);792210,0;15336;0,0025559543680211904
132;POINT (4547661.086784557 3274956.294152445);790922,0;15311;0,0025517988168087453
133;POINT (4562823.706111087 3273033.157864327);790148,0;15296;0,0025493016144497137
134;POINT (4554702.506642251 3269110.151270461);789767,0;15289;0,0025480723714280196
135;POINT (4554702.97814041 3269107.546501313);789767,0;15289;0,0025480723714280196
136;POINT (4548674.189638143 3265295.166801917);789750,0;15288;0,002548017523314191
